English Term,Part of Speech,Spanish Term,Category,Subcategory,English Example,Spanish Example,Cross References,Notes
adjust,v.,ajustar,Rigging,General,Adjust the cord tension carefully to prevent contamination.,Ajusta la tensión de la cuerda con cuidado para prevenir la contaminación.,"rigging, tension",
aerial rig,n.,estructura aérea,Rigging,Equipment,Check all components of the aerial rig before assembly.,Revisa todos los componentes de la estructura aérea antes del montaje.,"See: spreader bar, load path",
alcohol wipe,n.,toallita con alcohol,Infection Control,General,Use an alcohol wipe to prepare skin for bandages.,Usa una toallita con alcohol para preparar la piel para los vendajes.,"skin preparation, disinfect",
alpine butterfly,n.,mariposa alpina,Rigging,Knots,The alpine butterfly creates an in-line anchor point.,La mariposa alpina crea un punto de anclaje en línea.,"See: knot, termination",
aseptic,adj.,aséptico,Infection Control,General,Aseptic procedures reduce the risk of infection.,Los procedimientos asépticos reducen el riesgo de infección.,"sterile, clean",
attach,v.,adjuntar,Infection Control,General,Attach the cord to the hooks using shackles.,Adjunta la cuerda a los ganchos usando grilletes.,"connect, secure",
bandage/plaster,n.,vendaje,Infection Control,General,Cover the wound with a bandage to protect it.,Cubre la herida con un vendaje para protegerla.,"wound treatment, clean assistant",
beam clamp,n.,abrazadera de viga,Rigging,Equipment,Install beam clamps with opposing openings.,Instala las abrazaderas de viga con aberturas opuestas.,See: gravlock,
belay,v.,asegurar,Rigging,General,The rigger belays the rope to ensure the suspendee is raised and lowered safely.,El instalador asegura la cuerda para garantizar que el suspendido se suba y baje de manera segura.,"descent device, harness",
belayer,n.,asegurador,Rigging,General,The belayer must remain attentive to the suspendee throughout the suspension.,El asegurador debe permanecer atento al suspendido durante toda la suspensión.,"belay, harness",
bio assistant,n.,asistente contaminado,Infection Control,General,The bio assistant handles contaminated items and individuals.,El asistente contaminado maneja artículos e individuos contaminados.,"clean assistant, PPE",
biohazard container,n.,contenedor de residuos biológicos,Infection Control,General,Place contaminated hooks in a biohazard container.,Coloca los ganchos contaminados en un contenedor de residuos biológicos.,"contaminated waste, hook processing",
blood,n.,sangre,Infection Control,General,Wipe away any visible blood from the suspendee carefully.,Limpia cuidadosamente cualquier sangre visible del suspendido.,"wound, clean",
bloodborne pathogen,adj.,patógeno transmitido por sangre,Infection Control,General,Hygiene standards are necessary to prevent bloodborne pathogen transmission.,Los estándares de higiene son necesarios para prevenir la transmisión de patógenos transmitidos por sangre.,"PPE, infection",
breakdown,n.,desmontaje,Infection Control,General,The breakdown process involves removing all contaminated waste.,El proceso de desmontaje incluye la eliminación de todos los desechos contaminados.,"dispose, clean",
butane torch,n.,soplete de butano,Rigging,Tools,A butane torch should be on hand to seal cord ends during suspension.,Debe haber un soplete de butano disponible para sellar los extremos del cordón durante la suspensión.,"safety shears, termination",
